name,taproom,website,address,neighborhood,boro,lat,lon,logo,beers,dogs,tours,sun,mon,tue,wed,thu,fri,sat
Folksbier Brauerei,y,<a href='https://www.folksbier.com/' target='_blank'>website</a>,103 Luquer St,Carroll Gardens,Brooklyn,40.6779,-74.00099,./images/logos/folksbier.png,<a href='https://www.folksbier.com/menu-1' target='_blank'>beers</a>,,,2pm - 10pm,4pm - 11pm,closed,closed,4pm - 11pm,4pm - 11pm,2pm - 11pm
Grimm Artisinal Ales,y,<a href='https://grimmales.com/' target='_blank'>website</a>,990 Metropolitan Ave,East Williamsburg,Brooklyn,40.7144,-73.93651,./images/logos/grimm.png,<a href='https://grimmales.com/location/taproom/#on-tap' target='_blank'>beers</a>,,,12pm - 10pm,5pm - 10pm,5pm - 10pm,5pm - 10pm,5pm - 12am,5pm - 12am,12pm - 1am
Gun Hill Brewing Co.,y,<a href='https://www.gunhillbrewing.com/' target='_blank'>website</a>,3227 Laconia Ave,Laconia,The Bronx,40.87212,-73.85577,./images/logos/gunhill.png,<a href='https://www.gunhillbrewing.com/all-beers' target='_blank'>beers</a>,,,12pm - 10pm,2:30pm - 9pm,2:30pm - 9pm,2:30pm - 9pm,1pm - 11pm,1pm - 12am,12pm - 12am
Harlem Blue,n,<a href='https://www.harlemblue.com/' target='_blank'>website</a>,,,,0,0,./images/logos/harlem.png,<a href='' target='_blank'>beers</a>,,,,,,,,,
ICONYC Brewing Company,y,<a href='http://www.iconycbrewing.com/' target='_blank'>website</a>,"37-18 Northern Blvd, Suite 20",Long Island City,Queens,40.75199,-73.92557,./images/logos/iconyc.jpg,<a href='http://www.iconycbrewing.com/#new-page-1' target='_blank'>beers</a>,,,12pm - 8pm,closed,closed,4pm - 10pm,4pm - 10pm,4pm - 12am,12pm - 12am
Interboro Spirits &amp; Ales,y,<a href='http://interboro.nyc/home' target='_blank'>website</a>,942 Grand St,East Williamsburg,Brooklyn,40.71272,-73.93697,./images/logos/interboro.png,<a href='https://www.beermenus.com/breweries/14958-interboro-spirits-ales' target='_blank'>beers</a>,,,1pm - 8pm,5pm - 11pm,5pm - 11pm,5pm - 11pm,5pm - 11pm,5pm - 11pm,11am - 11pm
Keg &amp; Lantern Brewing Company,y,<a href='https://www.kegandlanternbrooklyn.com/' target='_blank'>website</a>,95-97 Nassau Ave,Greenpoint,Brooklyn,40.7240508,-73.9503414,./images/logos/keglantern.jpg,<a href='https://www.kegandlanternbrooklyn.com/' target='_blank'>beers</a>,,,11am - 4am,11am - 4am,11am - 4am,11am - 4am,11am - 4am,11am - 4am,11am - 4am
Kelso Beer Co.,n,<a href='http://kelsobeer.com/default.aspx' target='_blank'>website</a>,,,,0,0,./images/logos/kelso.png,<a href='' target='_blank'>beers</a>,,,,,,,,,
Kills Boro Brewing,y,<a href='http://killsboro.com/' target='_blank'>website</a>,60 Van Duzer St,Tomkinsville,Staten Island,40.6362881,-74.0774704,./images/logos/killsboro.jpg,<a href='https://www.beermenus.com/breweries/18250-kills-boro-brewing-company' target='_blank'>beers</a>,,,12am - 2am,5pm -12am,closed,5pm - 12am,5pm - 12am,5pm - 12am,12pm - 2am
Kings County Brewers Collective,y,<a href='https://www.facebook.com/KCBCbeer/?rf=611473009047245' target='_blank'>website</a>,381 Troutman St,Bushwick,Brooklyn,40.709251,-73.9382253,./images/logos/kcbc.png,<a href='https://www.beermenus.com/places/34873-kings-county-brewers-collective-kcbc' target='_blank'>beers</a>,,,12pm - 9pm,5pm - 11pm,5pm - 11pm,5pm - 11pm,5pm - 11pm,5pm - 12am,12pm - 12am
LIC Beer Project,y,<a href='http://licbeerproject.com/' target='_blank'>website</a>,39-28 23rd St,Long Island City,Queens,40.75522694,-73.93871007,./images/logos/lic.png,<a href='https://www.beermenus.com/places/21939-lic-beer-project' target='_blank'>beers</a>,,,12pm - 10pm,closed,4pm - 11pm,4pm - 11pm,4pm - 11pm,4pm - 11pm,12pm - 12am
Lineup Brewing,n,<a href='http://www.lineupbrewing.com/' target='_blank'>website</a>,"33 35th St, #6A",,Brooklyn,0,0,./images/logos/lineup.jpg,<a href='http://www.lineupbrewing.com/oursbeers' target='_blank'>beers</a>,,,,,,,,,
Mikkeller Brewing NYC,y,<a href='https://www.mikkellernyc.com/' target='_blank'>website</a>,123-01 Roosevelt Ave,Flushing,Queens,40.7570994,-73.8443645,./images/logos/mikkeller.png,<a href='https://www.mikkellernyc.com/st/taproom' target='_blank'>beers</a>,,,12pm - 10pm,closed,closed,4pm - 10pm,4pm - 10pm,12pm - 12am,12pm - 12am
Other Half Brewing,y,<a href='https://otherhalfbrewing.com/' target='_blank'>website</a>,195 Centre St,Carroll Gardens,Brooklyn,40.67366514,-73.99909135,./images/logos/otherhalf.png,<a href='https://otherhalfbrewing.com/location/taproom#whats-brewing' target='_blank'>beers</a>,,,11am - 10pm,12pm - 10pm,12pm - 10pm,12pm - 10pm,12pm - 12am,12pm - 12am,10am - 12am
Queens Brewery,y,<a href='https://www.queensbrewery.com/' target='_blank'>website</a>,15-39 Covert St,Ridgewood,Queens,40.69455,-73.9043,./images/logos/queens.jpg,<a href='https://www.queensbrewery.com/' target='_blank'>beers</a>,,,12pm - 12am,4pm - 12am,4pm - 12am,4pm - 12am,4pm - 12am,4pm - 12am,12pm - 12am
Randolph Beer DUMBO,y,<a href='https://www.randolphbeer.com/' target='_blank'>website</a>,77 Sands St,DUMBO,Brooklyn,40.70032,-73.98723,./images/logos/randolph.png,<a href='https://www.randolphbeer.com/#beers_menus_section' target='_blank'>beers</a>,,,11am - 9pm,11am - 12am,11am - 12am,11am - 12am,11am - 12am,11am - 12am,11am - 12am
Rockaway Brewing Company,y,<a href='http://rockawaybrewco.com/' target='_blank'>website</a>,"46-01 5th St, 1st Fl",Long Island City,Queens,40.74711995,-73.95508703,./images/logos/rockaway.png,<a href='http://rockawaybrewco.com/' target='_blank'>beers</a>,,,12pm - 9pm,5pm - 9pm,5pm - 9pm,5pm - 9pm,3pm - 9pm,3pm - 10pm,12pm - 10pm
Rockaway Brewing Company,y,<a href='http://rockawaybrewco.com/' target='_blank'>website</a>,415 Beach 72nd,Arverne,Queens,40.5924068,-73.809287,./images/logos/rockaway.png,<a href='http://rockawaybrewco.com/' target='_blank'>beers</a>,,,11am - 9pm,3pm - 9pm,3pm - 9pm,3pm - 9pm,3pm - 9pm,3pm - 9pm,11am - 10pm
SingleCut Beersmiths,y,<a href='https://singlecut.com/' target='_blank'>website</a>,1933 37th St,Astoria,Queens,40.77808574,-73.90232093,./images/logos/singlecut.jpg,<a href='https://singlecut.com/beers/' target='_blank'>beers</a>,,,11am - 9pm,closed,closed,closed,4pm - 11pm,4pm - 12am,11am - 12am
Sixpoint Brewery,n,<a href='https://sixpoint.com/' target='_blank'>website</a>,,,Brooklyn,0,0,./images/logos/sixpoint.png,<a href='https://sixpoint.com/beers/' target='_blank'>beers</a>,,,,,,,,,
Staten Island Beer Company,y,<a href='https://www.facebook.com/sibeerco/' target='_blank'>website</a>,"20 Kinsey Pl, Warehouse C",Arlington,Staten Island,40.6287924,-74.171737,./images/logos/statenisland.png,<a href='https://www.beermenus.com/places/37892-staten-island-beer-company' target='_blank'>beers</a>,,,12pm - 5pm,closed,closed,closed,5pm - 8pm,5pm - 10pm,1pm - 10pm
Strong Rope Brewery,y,<a href='http://strongropebrewery.com/' target='_blank'>website</a>,574A President St,Gowanus,Brooklyn,40.67684,-73.98379,./images/logos/strongrope.jpg,<a href='http://strongropebrewery.com/' target='_blank'>beers</a>,,,12pm - 9pm,3pm - 11pm,3pm - 11pm,3pm - 11pm,3pm - 11pm,3pm - 12am,12pm - 12am
Threes Brewing,y,<a href='https://www.threesbrewing.com/' target='_blank'>website</a>,333 Douglas St,Gowanus,Brooklyn,40.6796944,-73.9843422,./images/logos/threes.png,<a href='https://www.threesbrewing.com/pages/brewery-lineup-to-date' target='_blank'>beers</a>,,,12pm - 12am,5pm - 12am,5pm - 12am,5pm - 12am,5pm - 2am,3pm - 2am,12pm - 2am
Threes Brewing,y,<a href='https://www.threesbrewing.com/' target='_blank'>website</a>,113 FRANKLIN ST,Greenpoint,Brooklyn,40.7304361,-73.960006,./images/logos/threes.png,<a href='https://www.threesbrewing.com/pages/brewery-lineup-to-date' target='_blank'>beers</a>,,,12pm - 12am,12pm - 12am,12pm - 12am,12pm - 12am,12pm - 12am,12pm - 2am,12pm - 2am
Torch &amp; Crown Brewing Co.,y,<a href='https://torchandcrown.com/' target='_blank'>website</a>,12 Vandam St,SoHo,Manhattan,40.7234282,-74.0093794,./images/logos/torchcrown.png,<a href='https://torchandcrown.com/taproom/#' target='_blank'>beers</a>,,,coming soon!,coming soon!,coming soon!,coming soon!,coming soon!,coming soon!,coming soon!
Transmitter Brewing,y,<a href='https://www.transmitterbrew.com/' target='_blank'>website</a>,"53-02 11th St, Suite A",Long Island City,Queens,40.74003029,-73.9525379,./images/logos/transmitter.png,<a href='https://www.transmitterbrew.com/' target='_blank'>beers</a>,,,12pm - 8pm,closed,closed,closed,3pm - 8pm,3pm - 9pm,12pm - 9pm
